name,gender,age,class,fare,group,joined,job,boat,survival
"BERRIMAN, Mr William John",0,23,2,13,,Southampton,,,0
"BOTSFORD, Mr William Hull",0,25,2,13,,Southampton,,,0
"BOWENUR, Mr Solomon",0,42,2,13,,Southampton,Merchant,,0
"BRACKEN, Mr James H.",0,29,2,13,,Southampton,Stockman,,0
"BRAILEY, Mr W. Theodore Ronald",0,24,2,NA,Musician,Southampton,Musician,,0
"BRICOUX, Mr Roger Marie",0,20,2,NA,Musician,Southampton,Musician,,0
"BRITO, Mr Jos? Joaquim de",0,32,2,13,,Southampton,,,0
"BROWN, Miss Amelia Mary ""Mildred""",1,18,2,13,Servant,Southampton,Cook (Personal),11,1
"BROWN, Mr Thomas William Solomon",0,60,2,39,,Southampton,Hotelier,,0
"BROWN, Mrs Elizabeth Catherine",1,40,2,39,,Southampton,,14,1
"BROWN, Miss Edith Eileen",1,15,2,39,,Southampton,Scholar,14,1
"BRYHL, Mr Kurt Arnold Gottfrid",0,25,2,26,,Southampton,,,0
"BRYHL, Miss Dagmar Jenny Ingeborg",1,20,2,26,,Southampton,,12,1
"BUSS, Miss Kate",1,36,2,13,,Southampton,,9,1
"BUTLER, Mr Reginald Fenton",0,25,2,13,,Southampton,Mechanical Engineer,,0
"BYLES, Fr Thomas Roussel Davids",0,42,2,13,,Southampton,Priest / Minister,,0
"BYSTR?M, Mrs Karolina",1,42,2,13,,Southampton,,,0
"CALDWELL, Mr Albert Francis",0,26,2,29,,Southampton,,13,1
"CALDWELL, Mrs Sylvia Mae",1,28,2,29,,Southampton,,13,1
"CALDWELL, Master Alden Gates",0,1,2,29,,Southampton,,13,1
"CAMERON, Miss Clear Annie",1,35,2,21,,Southampton,,14,1
"CAMPBELL, Mr William Henry",0,21,2,NA,H&W Guarantee Group,Belfast,,,0
"CARBINES, Mr William",0,19,2,13,,Southampton,Miner,,0
"CARTER, Fr Ernest Courtenay",0,54,2,26,,Southampton,Priest / Minister,,0
"CARTER, Mrs Lilian",1,45,2,26,,Southampton,,,0
"CHAPMAN, Mr Charles Henry",0,52,2,13,,Southampton,,,0
"CHAPMAN, Mr John Henry",0,36,2,26,,Southampton,Farmer,,0
"CHAPMAN, Mrs Sara Elizabeth",1,28,2,26,,Southampton,,,0
"CHRISTY, Mrs Alice Frances",1,45,2,30,,Southampton,,12,1
"CHRISTY, Miss Rachel Julie Cohen",1,25,2,30,,Southampton,,12,1
"CLARKE, Mr Charles Valentine",0,29,2,26,,Southampton,Dairy Worker,,0
"CLARKE, Mrs Ada Maria",1,28,2,27,,Southampton,,14,1
"CLARKE, Mr John Frederick Preston",0,30,2,NA,Musician,Southampton,Musician,,0
"COLERIDGE, Mr Reginald Charles",0,29,2,10,,Southampton,Advertising Consultant,,0
"COLLANDER, Mr Erik Gustaf",0,27,2,13,,Southampton,,,0
"COLLETT, Mr Sidney Clarence Stuart",0,25,2,10,,Southampton,,9,1
"COLLYER, Mr Harvey",0,31,2,26,,Southampton,Grocer,,0
"COLLYER, Mrs Charlotte Annie",1,31,2,26,,Southampton,,14,1
"COLLYER, Miss Marjorie Charlotte ""Lottie""",1,8,2,26,,Southampton,,14,1
"COOK, Mrs Selena",1,22,2,10,,Southampton,,14,1
"CORBETT, Mrs Irene",1,30,2,13,,Southampton,Musician,,0
"COREY, Mrs Mary Phyllis Elizabeth",1,30,2,21,,Southampton,,,0
"COTTERILL, Mr Henry ""Harry""",0,20,2,11,,Southampton,Carpenter / Joiner,,0
"CUNNINGHAM, Mr Alfred Fleming",0,21,2,NA,H&W Guarantee Group,Belfast,Fitter,,0
"DAVIES, Mr Charles Henry",0,21,2,73,,Southampton,,,0
"DAVIES, Mrs Elizabeth Agnes Mary",1,48,2,36,,Southampton,,14,1
"DAVIES, Master John Morgan jr",0,8,2,36,,Southampton,,14,1
"DAVIS, Miss Mary",1,28,2,13,,Southampton,,13,1
"DEACON, Mr Percy William",0,20,2,73,,Southampton,,,0
"DEL CARLO, Mr Sebastiano",0,29,2,27,,Cherbourg,,,0
"DEL CARLO, Mrs Argene",1,24,2,27,,Cherbourg,,11,1
"DENBUOY, Mr Albert (""Herbert"")",0,25,2,31,,Southampton,,,0
"DIBDEN, Mr William",0,18,2,73,,Southampton,,,0
"DOLING, Mrs Ada Julia",1,34,2,23,,Southampton,,,0
"DOLING, Miss Elsie",1,18,2,23,,Southampton,,,0
"DOUTON, Mr William Joseph",0,55,2,26,,Southampton,Quarryman,,0
"DREW, Mr James Vivian",0,42,2,32,,Southampton,,,0
"DREW, Mrs Lulu Thorne",1,34,2,32,,Southampton,,10,1
"DREW, Master Marshall Brines",0,8,2,32,,Southampton,,10,1
"DURAN Y MORE, Miss Florentina",1,30,2,13,,Cherbourg,,12,1
"DURAN Y MORE, Miss Asuncion",1,27,2,13,,Cherbourg,,12,1
"EITEMILLER, Mr George Floyd",0,23,2,13,,Southampton,,,0
"ENANDER, Mr Ingvar",0,21,2,13,,Southampton,,,0
"FAHLSTR?M, Mr Arne Joma",0,18,2,13,,Southampton,,,0
"FAUNTHORPE, Mr Harry Bartram",0,40,2,26,,Southampton,,,0
"FILLBROOK, Mr Joseph Charles",0,18,2,10,,Southampton,Painter & Decorator,,0
"FOX, Mr Stanley Hubert",0,38,2,13,,Southampton,,,0
"FROST, Mr Anthony Wood",0,37,2,NA,H&W Guarantee Group,Belfast,Fitter,,0
"FUNK, Miss Annie Clemmer",1,38,2,13,,Southampton,Missionary,,0
"FYNNEY, Mr Joseph J.",0,35,2,26,,Southampton,,,0
"GALE, Mr Harry",0,38,2,21,,Southampton,Miner,,0
"GALE, Mr Shadrach",0,33,2,21,,Southampton,Miner,,0
"GARSIDE, Miss Ethel",1,34,2,13,,Southampton,,12,1
"GASKELL, Mr Alfred",0,16,2,26,,Southampton,,,0
"GAVEY, Mr Laurence",0,26,2,10,,Southampton,,,0
"GILBERT, Mr William",0,47,2,10,,Southampton,,,0
"GILES, Mr Edgar",0,21,2,11,,Southampton,Carpenter / Joiner,,0
"GILES, Mr Frederick Edward",0,20,2,11,,Southampton,Carpenter / Joiner,,0
"GILES, Mr Ralph",0,24,2,13,,Southampton,,,0
"GILL, Mr John William",0,24,2,13,,Southampton,Chauffeur,,0
"GILLESPIE, Mr William Henry",0,34,2,13,,Southampton,Clerk,,0
"GIVARD, Mr Hans Kristensen",0,30,2,13,,Southampton,,,0
"GREENBERG, Mr Samuel",0,52,2,13,,Southampton,,,0
"HALE, Mr Reginald",0,30,2,13,,Southampton,Gardener,,0
"H?M?L?INEN, Mrs Anna",1,23,2,14,,Southampton,,4,1
"H?M?L?INEN, Master Viljo Unto Johannes",0,1,2,14,,Southampton,,4,1
"HARBECK, Mr William H.",0,44,2,13,,Southampton,Cinematographer,,0
"HARPER, Rev. John",0,39,2,33,,Southampton,Priest / Minister,,0
"HARPER, Miss Annie Jessie",1,6,2,33,,Southampton,,11,1
"HARRIS, Mr George",0,62,2,10,,Southampton,,15,1
"HARRIS, Mr Walter",0,30,2,10,,Southampton,,,0
"HART, Mr Benjamin",0,47,2,26,,Southampton,Builder,,0
"HART, Mrs Esther Ada",1,48,2,26,,Southampton,,14,1
"HART, Miss Eva Miriam",1,7,2,26,,Southampton,,14,1
"HARTLEY, Mr Wallace Henry",0,33,2,NA,Musician,Southampton,Musician,,0
"HERMAN, Mr Samuel",0,49,2,65,,Southampton,Farmer,,0
"HERMAN, Mrs Jane",1,48,2,65,,Southampton,,9,1
"HERMAN, Miss Alice",1,24,2,65,,Southampton,,9,1
"HERMAN, Miss Kate",1,24,2,65,,Southampton,,9,1
"HEWLETT, Mrs Mary Dunbar",1,56,2,16,,Southampton,,13,1
"HICKMAN, Mr Leonard Mark",0,24,2,73,,Southampton,,,0
"HICKMAN, Mr Lewis",0,30,2,73,,Southampton,,,0
"HICKMAN, Mr Stanley George",0,20,2,73,,Southampton,,,0
"HILTUNEN, Miss Marta",1,18,2,13,,Southampton,,,0
"HOCKING, Mr Richard George",0,23,2,11,,Southampton,Baker,,0
"HOCKING, Mrs Elizabeth ""Eliza""",1,54,2,23,,Southampton,,4,1
"HOCKING, Miss Ellen ""Nellie""",1,20,2,23,,Southampton,,4,1
"HOCKING, Mr Samuel James Metcalfe",0,36,2,13,,Southampton,Painter & Decorator,,0
"HODGES, Mr Henry Price",0,50,2,13,,Southampton,Musical Instrument Vendor,,0
"HOLD, Mr Stephen",0,44,2,26,,Southampton,Clerk,,0
"HOLD, Mrs Annie Margaret",1,29,2,26,,Southampton,,10,1
"HOOD, Mr Ambrose Jr",0,22,2,73,,Southampton,,,0
"HOSONO, Mr Masabumi",0,41,2,13,,Southampton,Civil Servant,10,1
"HOWARD, Mr Benjamin",0,63,2,26,,Southampton,Retired,,0
"HOWARD, Mrs Ellen Truelove",1,60,2,26,,Southampton,,,0
"HUME, Mr John Law",0,29,2,NA,Musician,Southampton,Musician,,0
"HUNT, Mr George Henry",0,33,2,12,,Southampton,Gardener,,0
"ILETT, Miss Bertha",1,17,2,10,,Southampton,,,0
"JACOBSOHN, Mr Sidney Samuel",0,40,2,27,,Southampton,,,0
"JACOBSOHN, Mrs Amy Frances Christy",1,24,2,27,,Southampton,,12,1
"JARVIS, Mr Denzil John",0,47,2,15,,Southampton,Engineer,,0
"JEFFERYS, Mr Clifford Thomas",0,24,2,31,,Southampton,,,0
"JEFFERYS, Mr Ernest Wilfred",0,22,2,31,,Southampton,,,0
"JENKIN, Mr Stephen Curnow",0,32,2,10,,Southampton,Miner,,0
"JERWAN, Mrs Marie Marthe",1,23,2,13,,Cherbourg,,11,1
"KANTOR, Mr Sinai",0,34,2,26,,Southampton,,,0
"KANTOR, Mrs Miriam",1,24,2,26,,Southampton,,12,1
"KARNES, Mrs Claire",1,28,2,21,,Southampton,,,0
"KEANE, Mr Daniel",0,35,2,12,,Queenstown,,,0
"KEANE, Miss Nora Agnes",1,46,2,12,,Queenstown,,10,1
"KELLY, Mrs Florence ""Fannie""",1,45,2,13,,Southampton,,9,1
"KIRKLAND, Fr Charles Leonard",0,52,2,12,,Queenstown,Priest / Minister,,0
"KNIGHT, Mr Robert J.",0,39,2,NA,H&W Guarantee Group,Belfast,Fitter,,0
"KRINS, Mr Georges Alexandre",0,23,2,NA,Musician,Southampton,Musician,,0
"KVILLNER, Mr Johan Henrik Johannesson",0,31,2,10,,Southampton,Mechanical Engineer,,0
"LAHTINEN, Fr William",0,35,2,26,,Southampton,Priest / Minister,,0
"LAHTINEN, Mrs Anna Amelia",1,34,2,26,,Southampton,,,0
"LAMB, Mr John Joseph",0,30,2,10,,Queenstown,Gentleman,,0
"LAROCHE, Mr Joseph Philippe Lemercier",0,25,2,41,,Cherbourg,Engineer,,0
"LAROCHE, Mrs Juliette Marie Louise",1,22,2,41,,Cherbourg,,14,1
"LAROCHE, Miss Louise",1,1,2,41,,Cherbourg,,14,1
"LAROCHE, Miss Simonne Marie Anne Andr?e",1,3,2,41,,Cherbourg,,14,1
"LEHMANN, Miss Bertha",1,17,2,12,,Cherbourg,,12,1
"LEITCH, Miss Jessie Wills",1,31,2,33,,Southampton,,11,1
"LEMORE, Mrs Amelia ""Milley""",1,34,2,10,,Southampton,,14,1
"L?VY, Mr Ren? Jacques",0,36,2,12,,Southampton,Chemist,,0
"LEYSON, Mr Robert William Norman",0,25,2,10,,Southampton,Engineer,,0
"LINNANE, Mr John",0,61,2,12,,Queenstown,Gentleman,,0
"LOUCH, Mr Charles Alexander",0,50,2,26,,Southampton,Saddler,,0
"LOUCH, Mrs Alice Adelaide",1,42,2,26,,Southampton,,,0
"LUNDIN, Miss Olga Elida",1,23,2,7,,Southampton,,10,1
"MACK, Mrs Mary",1,57,2,10,,Southampton,,,0
"MALACHARD, Mr Jean-No?l",0,25,2,15,,Cherbourg,,,0
"MALLET, Mr Albert",0,31,2,37,,Cherbourg,Merchant,,0
"MALLET, Mrs Antonine Marie",1,24,2,37,,Cherbourg,,10,1
"MALLET, Master Andr? Clement",0,1,2,37,,Cherbourg,,10,1
"MANGIAVACCHI, Mr Serafino Emilio",0,30,2,15,,Cherbourg,Clerk,,0
"MATTHEWS, Mr William John",0,30,2,13,,Southampton,China Clay Worker,,0
"MAYBERY, Mr Frank Hubert",0,36,2,16,,Southampton,Property Developer / Real Estate,,0
"MCCRAE, Mr Arthur Gordon",0,32,2,13,,Southampton,Engineer,,0
"MCCRIE, Mr James Matthew",0,30,2,13,,Southampton,Oil Worker,,0
"MCKANE, Mr Peter David",0,46,2,26,,Southampton,,,0
"MELLINGER, Mrs Elizabeth Anne",1,41,2,19,,Southampton,,14,1
"MELLINGER, Miss Madeleine Violet",1,13,2,19,,Southampton,,14,1
"MELLORS, Mr William John",0,19,2,10,,Southampton,Salesman,B,1
"MEYER, Mr August",0,31,2,13,,Southampton,Baker,,0
"MILLING, Mr Jacob Christian",0,48,2,13,,Southampton,Machine Inspector,,0
"MITCHELL, Mr Henry Michael",0,71,2,10,,Southampton,Coach Painter,,0
"MONTVILA, Fr Juozas",0,27,2,13,,Southampton,Priest / Minister,,0
"MORAWECK, Dr Ernest",0,54,2,14,,Southampton,Doctor,,0
"MORLEY, Mr Henry Samuel",0,38,2,26,,Southampton,Confectioner,,0
"MUDD, Mr Thomas Charles",0,16,2,10,,Southampton,,,0
"MYLES, Mr Thomas Francis",0,63,2,9,,Queenstown,Gentleman,,0
"NASSER, Mr Nicholas",0,28,2,30,,Cherbourg,,,0
"NASSER, Mrs Adele",1,14,2,30,,Cherbourg,,,0
"NAVRATIL, Mr Michel",0,32,2,26,,Southampton,,,0
"NAVRATIL, Master Edmond Roger",0,2,2,26,,Southampton,,D,1
"NAVRATIL, Master Michel Marcel",0,3,2,26,,Southampton,,D,1
"NESSON, Mr Israel",0,26,2,13,,Southampton,Electrician,,0
"NICHOLLS, Mr Joseph Charles",0,19,2,36,,Southampton,Miner,,0
"NORMAN, Mr Robert Douglas",0,28,2,13,,Southampton,Electrical Engineer,,0
"NYE, Mrs Elizabeth",1,29,2,10,,Southampton,,11,1
"OTTER, Mr Richard",0,38,2,13,,Southampton,Stone Cutter,,0
"OXENHAM, Mr Percy Thomas",0,22,2,10,,Southampton,Mason,13,1
"PADRON MANENT, Mr Julian",0,26,2,13,,Cherbourg,Chauffeur,9,1
"PAIN, Dr Alfred",0,23,2,10,,Southampton,Doctor,,0
"PALLAS Y CASTELLO, Mr Emilio",0,29,2,13,,Cherbourg,,9,1
"PARKER, Mr Clifford Richard",0,28,2,10,,Southampton,Clerk,,0
"PARKES, Mr Francis ""Frank""",0,18,2,NA,H&W Guarantee Group,Belfast,Plumber,,0
"PARRISH, Mrs Lutie Davis",1,59,2,26,,Southampton,,12,1
"PENGELLY, Mr Frederick William",0,19,2,10,,Southampton,Miner,,0
"PERNOT, Mr Ren?",0,39,2,15,Servant,Cherbourg,Chauffeur,,0
"PERUSCHITZ, Fr Josef",0,41,2,13,,Southampton,Priest / Minister,,0
"PHILLIPS, Mr Escott Robert",0,42,2,21,,Southampton,,,0
"PHILLIPS, Miss Alice Frances Louisa",1,21,2,21,,Southampton,,12,1
"PHILLIPS, Miss Kate Florence",1,19,2,26,,Southampton,,11,1
"PINSKY, Mrs Rosa",1,32,2,13,,Southampton,,9,1
"PONESELL, Mr Martin",0,24,2,13,,Southampton,,,0
"PORTALUPPI, Mr Emilio Ilario Giuseppe",0,30,2,12,,Cherbourg,,14,1
"PULBAUM, Mr Franz",0,27,2,15,,Cherbourg,,,0
"QUICK, Mrs Jane",1,33,2,26,,Southampton,,11,1
"QUICK, Miss Winifred Vera",1,8,2,26,,Southampton,,11,1
"QUICK, Miss Phyllis May",1,2,2,26,,Southampton,,11,1
"REEVES, Mr David",0,36,2,10,,Southampton,Carpenter / Joiner,,0
"RENOUF, Mr Peter Henry",0,33,2,21,,Southampton,Carpenter / Joiner,,0
"RENOUF, Mrs Lillian",1,30,2,21,,Southampton,,,0
"REYNALDO, Ms Encarnacion",1,28,2,13,,Southampton,,9,1
"RICHARD, Mr Emile Phillippe",0,23,2,15,,Cherbourg,,,0
"RICHARDS, Mrs Emily",1,24,2,18,,Southampton,,4,1
"RICHARDS, Master William Rowe",0,3,2,18,,Southampton,,4,1
"RICHARDS, Master Sibley George",0,1,2,18,,Southampton,,4,1
"RIDSDALE, Miss Lucy",1,50,2,10,,Southampton,,13,1
"ROGERS, Mr Reginald Harry",0,18,2,10,,Southampton,,,0
"RUGG, Miss Emily",1,21,2,10,,Southampton,,12,1
"SCHMIDT, Mr August",0,26,2,13,,Southampton,,,0
"SEDGWICK, Mr Charles Frederick Waddington",0,25,2,13,,Southampton,,,0
"SHARP, Mr Percival James R.",0,27,2,26,,Southampton,,,0
"SHELLEY, Mrs Imanita Parrish",1,25,2,26,,Southampton,,12,1
"SILV?N, Miss Lyyli Karoliina",1,17,2,13,,Southampton,,16,1
"SINCOCK, Miss Maude",1,20,2,36,,Southampton,,11,1
"SINKKONEN, Miss Anna",1,30,2,13,,Southampton,,10,1
"SJ?STEDT, Mr Ernst Adolf",0,59,2,13,,Southampton,,,0
"SLAYTER, Miss Hilda Mary",1,30,2,12,,Queenstown,,13,1
"SLEMEN, Mr Richard James",0,35,2,10,,Southampton,,,0
"SMITH, Miss Marion Elsie",1,39,2,13,,Southampton,,9,1
"SOBEY, Mr Samuel James Hayden",0,25,2,13,,Southampton,Quarryman,,0
"STANTON, Mr Samuel Ward",0,42,2,15,,Cherbourg,,,0
"STOKES, Mr Philip Joseph",0,25,2,10,,Southampton,Bricklayer,,0
"SWANE, Mr George",0,26,2,13,Servant,Southampton,Chauffeur,,0
"SWEET, Mr George Frederick",0,14,2,65,,Southampton,Farm Labourer,,0
"TAYLOR, Mr Percy Cornelius",0,32,2,NA,Musician,Southampton,Musician,,0
"TOOMEY, Miss Ellen Mary",1,48,2,10,,Southampton,Servant,9,1
"TROUPIANSKY, Mr Moses Aaron",0,23,2,13,,Southampton,Shop Assistant,,0
"TROUT, Mrs Jessie L.",1,26,2,12,,Southampton,,9,1
"TROUTT, Miss Edwina Celia",1,27,2,10,,Southampton,,16,1
"TURPIN, Mr William John Robert",0,29,2,21,,Southampton,Carpenter / Joiner,,0
"TURPIN, Mrs Dorothy Ann",1,27,2,21,,Southampton,Housewife,,0
"VEAL, Mr James",0,40,2,13,,Southampton,,,0
"WALLCROFT, Miss Ellen ""Nellie""",1,36,2,21,,Southampton,,14,1
"WARE, Mr John James",0,45,2,21,,Southampton,,,0
"WARE, Mrs Florence Louise",1,31,2,21,,Southampton,,10,1
"WARE, Mr William Jeffery",0,23,2,10,,Southampton,,,0
"WATSON, Mr Ennis Hastings",0,15,2,NA,H&W Guarantee Group,Belfast,Apprentice Electrician,,0
"WATT, Mrs Elizabeth ""Bessie"" Inglis",1,40,2,15,,Southampton,,9,1
"WATT, Miss Robertha Josephine ""Bertha""",1,12,2,15,,Southampton,,9,1
"WEBBER, Miss Susan",1,37,2,13,,Southampton,,12,1
"WEISZ, Mr Leopold",0,28,2,26,,Southampton,,,0
"WEISZ, Mrs Mathilde Fran?oise",1,37,2,26,,Southampton,,10,1
"WELLS, Mrs ""Addie"" Dart",1,29,2,23,,Southampton,,14,1
"WELLS, Miss Joan",1,4,2,23,,Southampton,,14,1
"WELLS, Master Ralph Lester",0,2,2,23,,Southampton,,14,1
"WEST, Mr Edwy Arthur",0,36,2,27,,Southampton,,,0
"WEST, Mrs Ada Mary",1,33,2,27,,Southampton,,10,1
"WEST, Miss Constance Mirium",1,4,2,27,,Southampton,,10,1
"WEST, Miss Barbara Joyce",1,1,2,27,,Southampton,,10,1
"WHEADON, Mr Edward H.",0,66,2,10,,Southampton,Farmer,,0
"WHEELER, Mr Edwin Charles ""Fred""",0,24,2,12,Servant,Southampton,Servant,,0
"WILHELMS, Mr Charles",0,32,2,13,,Southampton,,9,1
"WILKINSON, Mrs Elizabeth Anne",1,35,2,26,,Southampton,,16,1
"WILLIAMS, Mr Charles Eugene",0,23,2,13,,Southampton,Sportsman,14,1
"WOODWARD, Mr John Wesley",0,32,2,NA,Musician,Southampton,Musician,,0
"WRIGHT, Miss Marion",1,26,2,13,,Southampton,,9,1
"YVOIS, Miss Henriette",1,24,2,13,,Southampton,,,0
"ABBING, Mr Anthony",0,42,3,7,,Southampton,Blacksmith,,0
"ABBOTT, Mrs Rhoda Mary 'Rosa'",1,39,3,20,,Southampton,,A,1
"ABBOTT, Mr Rossmore Edward",0,16,3,20,,Southampton,Jeweller,,0
"ABBOTT, Mr Eugene Joseph",0,14,3,20,,Southampton,Scholar,,0
"ABELSETH, Miss Karen Marie",1,16,3,7,,Southampton,,16,1
"ABELSETH, Mr Olaus J?rgensen",0,25,3,7,,Southampton,Farmer,A,1
"ABRAHAMSSON, Mr Abraham August Johannes",0,20,3,7,,Southampton,,15,1
"ABRAHIM, Mrs Mary Sophie Halaut",1,18,3,7,,Cherbourg,,C,1
"?DAHL, Mr Mauritz Nils Martin",0,30,3,7,,Southampton,General Labourer,,0
"ADAMS, Mr John",0,26,3,8,,Southampton,,,0
"AHLIN, Mrs Johanna Persdotter",1,40,3,9,,Southampton,,,0
"AKS, Mrs Leah",1,18,3,9,,Southampton,,13,1
"AKS, Master Frank Philip",0,1,3,9,,Southampton,,11,1
"ALBIMONA, Mr Nassef Cassem",0,26,3,18,,Cherbourg,,15,1
"ALEXANDER, Mr William",0,23,3,7,,Southampton,General Labourer,,0
"ALHOM?KI, Mr Ilmari Rudolf",0,19,3,7,,Southampton,General Labourer,,0
"ALI, Mr Ahmed",0,24,3,7,,Southampton,General Labourer,,0
"ALI, Mr William",0,25,3,7,,Southampton,General Labourer,,0
"ALLEN, Mr William Henry",0,35,3,8,,Southampton,Tool Maker,,0
"ALLUM, Mr Owen George",0,15,3,8,,Southampton,Gardener,,0
"ANDERSEN, Mr Albert Karvin",0,33,3,22,,Southampton,Engineer,,0
"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",1,19,3,7,,Southampton,,16,1
"ANDERSSON, Miss Erna Alexandra",1,17,3,7,,Southampton,,D,1
"ANDERSSON, Mr Johan Samuel",0,26,3,7,,Southampton,General Labourer,,0
"ANDERSSON, Miss Ida Augusta Margareta",1,38,3,7,,Southampton,,,0
"ANDERSSON, Mr Anders Johan",0,39,3,31,,Southampton,General Labourer,,0
"ANDERSSON, Mrs Alfrida Konstantia Brogren",1,39,3,31,,Southampton,,,0
"ANDERSSON, Miss Sigrid Elisabeth",1,11,3,31,,Southampton,,,0
"ANDERSSON, Miss Ingeborg Constanzia",1,9,3,31,,Southampton,,,0
"ANDERSSON, Miss Ebba Iris Alfrida",1,6,3,31,,Southampton,,,0
"ANDERSSON, Master Sigvard Harald Elias",0,4,3,31,,Southampton,,,0
"ANDERSSON, Miss Ellis Anna Maria",1,2,3,31,,Southampton,,,0
"ANDREASSON, Mr Paul Edvin",0,20,3,7,,Southampton,General Labourer,,0
"ANGHELOFF, Mr Minko",0,26,3,7,,Southampton,General Labourer,,0
"ARNOLD-FRANCHI, Mr Josef",0,25,3,17,,Southampton,General Labourer,,0
"ARNOLD-FRANCHI, Mrs Josefine",1,18,3,17,,Southampton,,,0
"ARONSSON, Mr Ernst Axel Algot",0,24,3,7,,Southampton,General Labourer,,0
"ASIM, Mr Adola",0,35,3,7,,Southampton,General Labourer,,0
"ASPLUND, Master Edvin Rojj Felix",0,3,3,31,,Southampton,,15,1
"ASPLUND, Mr Johan Charles",0,23,3,7,,Southampton,,13,1
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",0,40,3,31,,Southampton,General Labourer,,0
"ASPLUND, Mrs Selma Augusta Emilia",1,38,3,31,,Southampton,,15,1
"ASPLUND, Master Carl Edgar",0,5,3,31,,Southampton,,,0
"ASPLUND, Master Filip Oscar",0,13,3,31,,Southampton,,,0
"ASPLUND, Master Clarence Gustaf Hugo",0,9,3,31,,Southampton,,,0
"ASPLUND, Miss Lillian Gertrud",1,5,3,31,,Southampton,,15,1
"ASSAF, Mrs Mariana",1,45,3,7,,Cherbourg,,C,1
"ASSAM, Mr Ali",0,23,3,7,,Southampton,General Labourer,,0
"ATTALA, Mr Sleiman",0,27,3,7,,Cherbourg,Journalist,,0
"ATTALAH, Miss Malake",1,17,3,14,,Cherbourg,,,0
"AUGUSTSSON, Mr Albert",0,23,3,7,,Southampton,General Labourer,,0
"AYOUB DAHER, Miss Banoura",1,15,3,7,,Cherbourg,,C,1
"BACCOS, Mr Raffull",0,20,3,7,,Cherbourg,Farm Labourer,,0
"BACKSTR?M, Mr Karl Alfred",0,32,3,15,,Southampton,General Labourer,,0
"BACKSTR?M, Mrs Maria Mathilda",1,33,3,15,,Southampton,,D,1
"BACLINI, Mrs Latifa",1,24,3,19,,Cherbourg,,C,1
"BACLINI, Miss Marie Catherine",1,5,3,19,,Cherbourg,,C,1
"BACLINI, Miss Eugenie",1,3,3,19,,Cherbourg,,C,1
"BACLINI, Miss Helene Barbara",1,1,3,19,,Cherbourg,,C,1
"BADMAN, Miss Emily Louisa",1,18,3,8,,Southampton,Servant,C,1
"BADT, Mr Mohamed",0,40,3,7,,Cherbourg,Farmer,,0
"BALKIC, Mr Cerin",0,26,3,7,,Southampton,General Labourer,,0
"BANSKI, Mrs Mara",1,31,3,8,,Southampton,,,0
"BARBARA, Mrs Catherine David",1,45,3,14,,Cherbourg,Housekeeper,,0
"BARBARA, Miss Saiide",1,18,3,14,,Cherbourg,Housekeeper,,0
"BARRY, Miss Julia",1,26,3,7,,Queenstown,Housekeeper,,0
"BARTON, Mr David John",0,22,3,8,,Southampton,General Labourer,,0
"BEAVAN, Mr William Thomas",0,18,3,8,,Southampton,General Labourer,,0
"BENGTSSON, Mr Johan Viktor",0,26,3,7,,Southampton,General Labourer,,0
"BERGLUND, Mr Karl Ivar Sven",0,22,3,9,,Southampton,General Labourer,,0
"BETROS, Mr Tannous",0,20,3,7,,Cherbourg,Shoemaker,,0
"BING, Mr Lee",0,32,3,56,,Southampton,Seaman,C,1
"BIRKELAND, Mr Hans Martin Monsen",0,21,3,7,,Southampton,Seaman,,0
"BJ?RKLUND, Mr Ernst Herbert",0,18,3,7,,Southampton,General Labourer,,0
"BOSTANDYEFF, Mr Guentcho",0,26,3,7,,Southampton,General Labourer,,0
"BOULOS, Mrs Sultana",1,40,3,15,,Cherbourg,,,0
"BOULOS, Miss Nourelain",1,7,3,15,,Cherbourg,,,0
"BOULOS, Master Akar",0,9,3,15,,Cherbourg,,,0
"BOURKE, Mr John",0,42,3,15,,Queenstown,Farmer,,0
"BOURKE, Mrs Catherine",1,32,3,15,,Queenstown,Housewife,,0
"BOURKE, Miss Mary",1,40,3,7,,Queenstown,,,0
"BOWEN, Mr David John ""Dai""",0,26,3,16,,Southampton,Pugilist,,0
"BRADLEY, Miss Bridget Delia",1,22,3,7,,Queenstown,,13,1
"BRAF, Miss Elin Ester Maria",1,20,3,7,,Southampton,Servant,,0
"BRAUND, Mr Lewis Richard",0,29,3,7,,Southampton,Farm Labourer,,0
"BRAUND, Mr Owen Harris",0,22,3,7,,Southampton,Ironmonger,,0
"BROBECK, Mr Karl Rudolf",0,22,3,7,,Southampton,Farm Labourer,,0
"BROCKLEBANK, Mr William Alfred",0,35,3,8,,Southampton,Groom,,0
"BUCKLEY, Mr Daniel",0,21,3,7,,Queenstown,Farm Labourer,13,1
"BUCKLEY, Miss Katherine",1,22,3,7,,Queenstown,,,0
"BURKE, Mr Jeremiah",0,19,3,6,,Queenstown,Farm Labourer,,0
"BURNS, Miss Mary Delia",1,17,3,7,,Queenstown,,,0
"CACIC, Mr Jego Grga",0,18,3,8,,Southampton,Farmer,,0
"CACIC, Mr Luka",0,38,3,8,,Southampton,Farmer,,0
"CACIC, Miss Marija",1,30,3,8,,Southampton,Farm Labourer,,0
